assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_041319925.1	PRJNA224116	SAMN29495177	na	na	na	na	1748967	1748967	Citrobacter cronae	strain=OT84	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131992v1		GCA_041319925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/925/GCF_041319925.1_ASM4131992v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319925.1_ASM4131992v1_genomic.fna.gz
GCF_041319935.1	PRJNA224116	SAMN29495176	na	na	na	na	1748967	1748967	Citrobacter cronae	strain=OT70	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131993v1		GCA_041319935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/935/GCF_041319935.1_ASM4131993v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319935.1_ASM4131993v1_genomic.fna.gz
GCF_037482245.1	PRJNA224116	SAMN40501937	na	na	reference genome	na	1914243	1914243	Citrobacter europaeus	strain=WF1643	na	latest	Complete Genome	Major	Full	2024-04-05	ASM3748224v1		GCA_037482245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/482/245/GCF_037482245.1_ASM3748224v1	./Development/ThreeFold/data/external/Citrobacter/GCF_037482245.1_ASM3748224v1_genomic.fna.gz
GCF_002934585.1	PRJNA224116	SAMN06040393	na	na	na	na	1920110	1920110	Citrobacter sp. CFNIH10	strain=CFNIH10	na	latest	Complete Genome	Major	Full	2018-02-06	ASM293458v1		GCA_002934585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/585/GCF_002934585.1_ASM293458v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002934585.1_ASM293458v1_genomic.fna.gz
GCF_002880615.1	PRJNA224116	SAMN03455929	na	na	na	na	2066049	2066049	Citrobacter freundii complex sp. CFNIH2	strain=CFNIH2	na	latest	Complete Genome	Major	Full	2018-01-16	ASM288061v1		GCA_002880615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/880/615/GCF_002880615.1_ASM288061v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002880615.1_ASM288061v1_genomic.fna.gz
GCF_002903215.1	PRJNA224116	SAMN03455982	na	na	na	na	2077147	2077147	Citrobacter freundii complex sp. CFNIH3	strain=CFNIH3	na	latest	Complete Genome	Major	Full	2018-01-29	ASM290321v1		GCA_002903215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/903/215/GCF_002903215.1_ASM290321v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002903215.1_ASM290321v1_genomic.fna.gz
GCF_002934505.1	PRJNA224116	SAMN03455986	na	na	na	na	2077148	2077148	Citrobacter freundii complex sp. CFNIH4	strain=CFNIH4	na	latest	Complete Genome	Major	Full	2018-02-06	ASM293450v1		GCA_002934505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/505/GCF_002934505.1_ASM293450v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002934505.1_ASM293450v1_genomic.fna.gz
GCF_002903305.1	PRJNA224116	SAMN04287052	na	na	na	na	2077149	2077149	Citrobacter freundii complex sp. CFNIH9	strain=CFNIH9	na	latest	Complete Genome	Major	Full	2018-01-29	ASM290330v1		GCA_002903305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/903/305/GCF_002903305.1_ASM290330v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002903305.1_ASM290330v1_genomic.fna.gz
GCF_004322975.1	PRJNA224116	SAMN03456000	na	na	na	na	2529121	2529121	Citrobacter sp. ABFQG	strain=ABFQG	na	latest	Complete Genome	Major	Full	2019-03-04	ASM432297v1		GCA_004322975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/322/975/GCF_004322975.1_ASM432297v1	./Development/ThreeFold/data/external/Citrobacter/GCF_004322975.1_ASM432297v1_genomic.fna.gz
GCF_004353845.1	PRJNA224116	SAMN11080768	na	na	reference genome	assembly from type material	2546350	2546350	Citrobacter arsenatis	strain=LY-1	na	latest	Complete Genome	Major	Full	2019-03-17	ASM435384v1		GCA_004353845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/353/845/GCF_004353845.1_ASM435384v1	./Development/ThreeFold/data/external/Citrobacter/GCF_004353845.1_ASM435384v1_genomic.fna.gz
GCF_004684345.1	PRJNA224116	SAMN11282944	na	na	reference genome	assembly from type material	2562449	2562449	Citrobacter tructae	strain=SNU WT2	na	latest	Complete Genome	Major	Full	2019-04-07	ASM468434v1		GCA_004684345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/684/345/GCF_004684345.1_ASM468434v1	./Development/ThreeFold/data/external/Citrobacter/GCF_004684345.1_ASM468434v1_genomic.fna.gz
GCF_006385635.1	PRJNA224116	SAMN11388517	na	na	na	na	2566012	2566012	Citrobacter sp. CF971	strain=CF971	na	latest	Complete Genome	Major	Full	2019-06-23	ASM638563v1		GCA_006385635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/385/635/GCF_006385635.1_ASM638563v1	./Development/ThreeFold/data/external/Citrobacter/GCF_006385635.1_ASM638563v1_genomic.fna.gz
